Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,71,6,13,19
Pontus Aberg,--,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20162017,N,59,12,13,25
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,72,6,8,14
Kenny Agostino,--,L,L,1992-04-30,Morristown,NJ,USA,USA,72,204,2010,5,140,20132014,N,63,6,18,24
Andrew Agozzino,ANA,L,L,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,11,1,1,2
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,82,30,53,83
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,43,6,7,13
Joey Anderson,CHI,R,R,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,34,4,3,7
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,82,27,20,47
Lias Andersson,MTL,L,C,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,42,2,4,6
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,79,2,17,19
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20142015,N,64,7,10,17
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,78,15,22,37
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,36,3,7,10
Darren Archibald,--,L,R,1990-02-09,Newmarket,ON,CAN,CAN,75,210,--,--,--,20132014,N,12,1,1,2
Josh Archibald,--,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,68,12,10,22
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,57,13,10,23
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,58,34,14,48
Zach Aston-Reese,DET,L,C,1994-08-10,Staten Island,NY,USA,USA,73,205,--,--,--,20172018,N,43,8,9,17
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,76,30,24,54
