Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,41,4,7,11
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,56,24,33,57
Wade Allison,NSH,R,R,1997-10-14,Carman,MB,CAN,CAN,74,205,2016,2,52,20202021,N,14,4,3,7
Michael Amadio,VGK,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,200,2014,3,90,20172018,N,25,0,3,3
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,52,17,7,24
Mikey Anderson,LAK,L,D,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,54,1,10,11
Jaret Anderson-Dolan,NSH,L,C,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,34,7,4,11
Lias Andersson,MTL,L,C,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,23,3,3,6
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,56,5,16,21
Anthony Angello,NSH,R,C,1996-03-06,Albany,NY,USA,USA,77,210,2014,5,145,20192020,N,19,2,2,4
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,19,2,7,9
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,56,12,13,25
Josh Archibald,--,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,52,7,6,13
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,41,7,7,14
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,50,10,15,25
Rasmus Asplund,FLA,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,185,2016,2,33,20192020,N,28,7,4,11
Zach Aston-Reese,DET,L,C,1994-08-10,Staten Island,NY,USA,USA,73,205,--,--,--,20172018,N,45,9,6,15
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,47,10,13,23
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,56,15,19,34
