Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,71,23,21,44
Craig Adams,--,R,R,1977-04-26,Seria,--,BRN,CAN,72,200,1996,9,223,20002001,N,70,1,6,7
Jason Akeson,--,R,R,1990-06-03,Ottawa,ON,CAN,CAN,70,185,--,--,--,20122013,N,13,0,0,0
Bryan Allen,--,L,D,1980-08-21,Kingston,ON,CAN,CAN,77,223,1998,1,4,20002001,N,11,0,2,2
Karl Alzner,--,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20082009,N,82,5,16,21
Joakim Andersson,--,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20112012,N,68,3,5,8
Andy Andreoff,--,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,18,2,1,3
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20142015,N,12,2,1,3
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,52,7,20,27
Mark Arcobello,--,R,R,1988-08-12,Milford,CT,USA,USA,68,174,--,--,--,20122013,N,77,17,14,31
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,78,22,18,40
Keith Aulie,--,L,D,1989-06-11,Rouleau,SK,CAN,CAN,78,222,2007,4,116,20102011,N,31,0,1,1
David Backes,--,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,80,26,32,58
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,52,10,17,27
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,82,18,60,78
Sven Baertschi,--,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,18,2,4,6
